nSerialNumber,TimeStamp,sSymbol,nBestBuyOrderPrice,nBestBuyOrderQuantity,nBestSellOrderPrice,nBestSellOrderQuantity,nLastTradedPrice,nTotalTradedQuantity
73,01-09-2017 09:16,XYZ Corporation,1171.05,124,1171.1,11,1171.1,16286
74,01-09-2017 09:16,XYZ Corporation,1171.05,90,1171.1,11,1171.05,16320
75,01-09-2017 09:16,XYZ Corporation,1171.25,34,1171.45,47,1171.55,16478
76,01-09-2017 09:16,XYZ Corporation,1171.25,10,1171.3,45,1171.3,16504
77,01-09-2017 09:16,XYZ Corporation,1171.25,100,1171.3,1,1171.25,16514
78,01-09-2017 09:16,XYZ Corporation,1171.25,100,1171.7,44,1171.25,16633
79,01-09-2017 09:16,XYZ Corporation,1171.4,1,1171.55,102,1171.95,16733
80,01-09-2017 09:16,XYZ Corporation,1171.25,100,1171.4,1,1171.25,16849
81,01-09-2017 09:16,XYZ Corporation,1171.25,82,1171.4,1,1171.25,17023
82,01-09-2017 09:16,XYZ Corporation,1171,127,1171.25,68,1171,17727
83,01-09-2017 09:16,XYZ Corporation,1170.25,26,1171,69,1171,18027
84,01-09-2017 09:16,XYZ Corporation,1170.05,26,1170.6,28,1170.6,18449
85,01-09-2017 09:16,XYZ Corporation,1170,841,1170.05,21,1170.05,18527
86,01-09-2017 09:16,XYZ Corporation,1170,614,1170.05,14,1170,18788
87,01-09-2017 09:16,XYZ Corporation,1170,489,1170.05,22,1170,18902
88,01-09-2017 09:16,XYZ Corporation,1170.05,98,1170.95,26,1171,19323
89,01-09-2017 09:16,XYZ Corporation,1170.65,26,1171.3,4,1171.6,19523
90,01-09-2017 09:16,XYZ Corporation,1170.05,140,1170.95,26,1170.5,19562
91,01-09-2017 09:16,XYZ Corporation,1170.05,140,1170.95,26,1170.5,19562
92,01-09-2017 09:16,XYZ Corporation,1170,439,1170.65,26,1170,19612
93,01-09-2017 09:16,XYZ Corporation,1170,439,1170.05,2,1170,19612
94,01-09-2017 09:16,XYZ Corporation,1170,439,1170.05,2,1170,19612
95,01-09-2017 09:16,XYZ Corporation,1170,767,1170.65,26,1170,19884
96,01-09-2017 09:16,XYZ Corporation,1170.05,39,1170.65,26,1170.05,19896
97,01-09-2017 09:16,XYZ Corporation,1170.05,4,1170.5,79,1170.05,19931
98,01-09-2017 09:16,XYZ Corporation,1170.05,54,1170.5,71,1170.5,19983
99,01-09-2017 09:16,XYZ Corporation,1170.05,54,1170.3,2,1170.5,19983
100,01-09-2017 09:16,XYZ Corporation,1170.2,25,1170.25,27,1170.05,19993
101,01-09-2017 09:16,XYZ Corporation,1170.2,12,1170.5,5,1170.5,20009
102,01-09-2017 09:16,XYZ Corporation,1170.2,12,1170.5,5,1170.5,20009
103,01-09-2017 09:16,XYZ Corporation,1170,810,1170.6,26,1170,20431
104,01-09-2017 09:16,XYZ Corporation,1170,545,1170.45,128,1170,20696
105,01-09-2017 09:16,XYZ Corporation,1170,479,1170.3,34,1170,20804
106,01-09-2017 09:16,XYZ Corporation,1170.25,10,1170.35,13,1170.35,20858
107,01-09-2017 09:16,XYZ Corporation,1170.25,9,1170.35,7,1170.25,20859
108,01-09-2017 09:16,XYZ Corporation,1170.25,9,1170.3,2,1170.25,20859
109,01-09-2017 09:16,XYZ Corporation,1170.25,9,1170.35,4,1170.35,20881
110,01-09-2017 09:16,XYZ Corporation,1170.25,9,1170.3,25,1170.35,20881
111,01-09-2017 09:16,XYZ Corporation,1170.25,108,1170.85,26,1170.3,20939
112,01-09-2017 09:16,XYZ Corporation,1170.25,95,1170.8,26,1170.25,20952
113,01-09-2017 09:16,XYZ Corporation,1170.25,95,1170.8,29,1170.25,20952
114,01-09-2017 09:16,XYZ Corporation,1170.5,50,1170.8,3,1170.25,20955
115,01-09-2017 09:16,XYZ Corporation,1170.5,50,1170.8,1,1170.25,20955
116,01-09-2017 09:16,XYZ Corporation,1170.5,50,1170.8,1,1170.25,20955
117,01-09-2017 09:16,XYZ Corporation,1170.5,50,1170.8,1,1170.55,20982
118,01-09-2017 09:16,XYZ Corporation,1170.5,50,1170.8,1,1170.55,20982
119,01-09-2017 09:16,XYZ Corporation,1170.5,50,1170.8,1,1170.55,20982
120,01-09-2017 09:17,XYZ Corporation,1170.5,50,1171.25,29,1171.3,21064
121,01-09-2017 09:17,XYZ Corporation,1169.9,103,1171,26,1169.45,23085
122,01-09-2017 09:17,XYZ Corporation,1169.05,68,1169.8,26,1169.85,23345
123,01-09-2017 09:17,XYZ Corporation,1169.3,44,1169.8,3,1169.8,23474
124,01-09-2017 09:17,XYZ Corporation,1169.25,5,1169.8,11,1169.8,23493
125,01-09-2017 09:17,XYZ Corporation,1169.25,5,1169.8,12,1169.8,23493
126,01-09-2017 09:17,XYZ Corporation,1169.05,44,1169.25,5,1169.25,23570
127,01-09-2017 09:17,XYZ Corporation,1169.05,44,1169.25,41,1169.25,23575
128,01-09-2017 09:17,XYZ Corporation,1169,66,1169.25,41,1169,23685
129,01-09-2017 09:17,XYZ Corporation,1169,66,1169.25,39,1169.25,23687
130,01-09-2017 09:17,XYZ Corporation,1169,66,1169.65,57,1169.65,23990
131,01-09-2017 09:17,XYZ Corporation,1168.8,10,1169.55,10,1169.4,24066
132,01-09-2017 09:17,XYZ Corporation,1169.05,5,1169.55,20,1169.55,24271
133,01-09-2017 09:17,XYZ Corporation,1169,182,1169.5,82,1169,24394
134,01-09-2017 09:17,XYZ Corporation,1169,145,1169.25,2,1169.5,24449
135,01-09-2017 09:17,XYZ Corporation,1169,145,1169.25,2,1169.5,24449
136,01-09-2017 09:17,XYZ Corporation,1169.1,110,1170.2,26,1169.1,25204
137,01-09-2017 09:17,XYZ Corporation,1169,49,1170,29,1169,25337
138,01-09-2017 09:17,XYZ Corporation,1168.6,228,1169,976,1169,25468
139,01-09-2017 09:17,XYZ Corporation,1168.6,207,1169,1074,1168.6,25489
140,01-09-2017 09:17,XYZ Corporation,1168.6,207,1168.8,155,1168.8,25534
141,01-09-2017 09:17,XYZ Corporation,1168.6,207,1168.8,155,1168.8,25534
142,01-09-2017 09:17,XYZ Corporation,1168.6,182,1168.8,155,1168.6,25559
143,01-09-2017 09:17,XYZ Corporation,1168.6,182,1168.7,2,1168.6,25559
144,01-09-2017 09:17,XYZ Corporation,1168.1,34,1168.6,27,1168.55,25824
145,01-09-2017 09:17,XYZ Corporation,1168.1,34,1168.6,37,1168.6,25826
146,01-09-2017 09:17,XYZ Corporation,1168.05,34,1168.55,14,1168.55,25840
147,01-09-2017 09:17,XYZ Corporation,1168.05,34,1168.55,14,1168.55,25840
148,01-09-2017 09:17,XYZ Corporation,1168.05,34,1168.55,15,1168.25,25842
149,01-09-2017 09:17,XYZ Corporation,1168,105,1168.05,61,1168.05,25881
150,01-09-2017 09:17,XYZ Corporation,1168,95,1168.05,67,1168.05,25892
151,01-09-2017 09:17,XYZ Corporation,1168,95,1168.05,62,1168.05,25897
152,01-09-2017 09:17,XYZ Corporation,1167.25,26,1168,1,1168,26017
153,01-09-2017 09:17,XYZ Corporation,1167.15,25,1167.9,26,1167.1,26100
154,01-09-2017 09:17,XYZ Corporation,1167.05,25,1167.55,1,1167.1,26100
155,01-09-2017 09:17,XYZ Corporation,1167,60,1167.05,47,1167.05,26242
156,01-09-2017 09:17,XYZ Corporation,1167,50,1167.05,3,1167.05,26364
157,01-09-2017 09:17,XYZ Corporation,1167.2,8,1167.9,26,1168,26406
158,01-09-2017 09:17,XYZ Corporation,1167.15,25,1167.6,1,1167.9,26451
159,01-09-2017 09:17,XYZ Corporation,1168,24,1168.05,198,1168,26939
160,01-09-2017 09:17,XYZ Corporation,1168,134,1168.55,79,1168.5,27463
161,01-09-2017 09:17,XYZ Corporation,1168.1,26,1168.7,102,1169,27963
162,01-09-2017 09:17,XYZ Corporation,1168,65,1168.1,9,1168.1,28034
163,01-09-2017 09:17,XYZ Corporation,1168,64,1168.05,2,1168,28041
164,01-09-2017 09:17,XYZ Corporation,1168,64,1168.05,2,1168.05,28045
165,01-09-2017 09:17,XYZ Corporation,1167.65,76,1168,610,1168,28402
166,01-09-2017 09:17,XYZ Corporation,1167.65,9,1168,671,1167.65,28469
167,01-09-2017 09:17,XYZ Corporation,1167.1,103,1167.65,9,1167.65,28506
168,01-09-2017 09:17,XYZ Corporation,1167.1,133,1167.4,2,1167.4,28716
169,01-09-2017 09:17,XYZ Corporation,1167.15,7,1167.85,26,1167.25,28749
170,01-09-2017 09:17,XYZ Corporation,1167.15,7,1167.95,26,1167.25,28749
171,01-09-2017 09:17,XYZ Corporation,1167.1,140,1167.4,10,1167.1,29456
172,01-09-2017 09:17,XYZ Corporation,1167.35,151,1167.95,3,1167.95,29544
173,01-09-2017 09:17,XYZ Corporation,1167,52,1167.1,1,1167.1,29560
174,01-09-2017 09:17,XYZ Corporation,1166.5,103,1167.55,26,1166.45,29818
175,01-09-2017 09:17,XYZ Corporation,1166.35,98,1167,15,1166.4,29855
176,01-09-2017 09:17,XYZ Corporation,1166.6,54,1167.3,26,1167.15,30098
177,01-09-2017 09:17,XYZ Corporation,1166.35,696,1166.4,12,1166.4,30215
178,01-09-2017 09:17,XYZ Corporation,1166.75,628,1167.35,3,1167.35,30268
179,01-09-2017 09:17,XYZ Corporation,1167.05,586,1167.35,3,1167.35,30271
180,01-09-2017 09:18,XYZ Corporation,1167.2,586,1167.5,2,1167.5,30293
181,01-09-2017 09:18,XYZ Corporation,1167.2,586,1167.5,2,1167.5,30293
182,01-09-2017 09:18,XYZ Corporation,1167.2,42,1167.55,2,1167.55,30395
183,01-09-2017 09:18,XYZ Corporation,1167.05,5,1167.8,26,1167.05,30637
184,01-09-2017 09:18,XYZ Corporation,1167,100,1167.5,128,1167.8,30638
185,01-09-2017 09:18,XYZ Corporation,1167,80,1167.55,26,1167,30763
186,01-09-2017 09:18,XYZ Corporation,1167,80,1167.55,26,1167,30763
187,01-09-2017 09:18,XYZ Corporation,1167,80,1167.55,29,1167,30763
188,01-09-2017 09:18,XYZ Corporation,1167,80,1167.55,29,1167,30763
189,01-09-2017 09:18,XYZ Corporation,1167,80,1167.55,29,1167,30763
190,01-09-2017 09:18,XYZ Corporation,1167,80,1167.55,29,1167,30763
191,01-09-2017 09:18,XYZ Corporation,1167,81,1167.55,3,1167,30763
192,01-09-2017 09:18,XYZ Corporation,1167,81,1167.55,3,1167,30763
193,01-09-2017 09:18,XYZ Corporation,1167.2,1,1167.9,26,1167.85,31313
194,01-09-2017 09:18,XYZ Corporation,1166.55,34,1167,8,1167,31441
195,01-09-2017 09:18,XYZ Corporation,1166.5,100,1166.55,18,1166.55,31511
196,01-09-2017 09:18,XYZ Corporation,1166.5,50,1166.55,13,1166.55,31727
197,01-09-2017 09:18,XYZ Corporation,1167,51,1167.25,34,1167,31835
198,01-09-2017 09:18,XYZ Corporation,1167,51,1167.15,1,1167.15,31836
199,01-09-2017 09:18,XYZ Corporation,1167,51,1167.15,3,1167.15,31837
200,01-09-2017 09:18,XYZ Corporation,1167.15,50,1167.7,87,1167.15,32229
201,01-09-2017 09:18,XYZ Corporation,1167,151,1167.15,7,1167.15,32279
202,01-09-2017 09:18,XYZ Corporation,1167,138,1167.55,86,1167,32292
203,01-09-2017 09:18,XYZ Corporation,1167,138,1167.55,96,1167,32292
204,01-09-2017 09:18,XYZ Corporation,1167.15,3,1167.55,15,1167,32292
205,01-09-2017 09:18,XYZ Corporation,1167,148,1167.55,13,1167,32332
206,01-09-2017 09:18,XYZ Corporation,1167.55,169,1168,77,1167.55,32428
207,01-09-2017 09:18,XYZ Corporation,1167.55,133,1168,77,1167.55,32464
208,01-09-2017 09:18,XYZ Corporation,1167,48,1167.5,1767,1167.55,32697
209,01-09-2017 09:18,XYZ Corporation,1167,4,1167.5,1786,1167.5,32771
210,01-09-2017 09:18,XYZ Corporation,1167,4,1167.5,1770,1167.5,32879
211,01-09-2017 09:18,XYZ Corporation,1167,25,1167.5,1762,1167.5,32913
212,01-09-2017 09:18,XYZ Corporation,1167,25,1167.5,1462,1167,33272
213,01-09-2017 09:18,XYZ Corporation,1167,25,1167.5,1462,1167,33272
214,01-09-2017 09:18,XYZ Corporation,1167.05,17,1167.5,1451,1167,33272
215,01-09-2017 09:18,XYZ Corporation,1167.05,17,1167.5,1451,1167,33272
216,01-09-2017 09:18,XYZ Corporation,1167.05,17,1167.5,1451,1167,33272
217,01-09-2017 09:18,XYZ Corporation,1167.05,17,1167.5,1451,1167,33272
218,01-09-2017 09:18,XYZ Corporation,1167.2,3,1167.45,35,1167.5,33327
219,01-09-2017 09:18,XYZ Corporation,1167.2,3,1167.25,1,1167.5,33327
220,01-09-2017 09:18,XYZ Corporation,1167.2,3,1167.5,1317,1167.5,33421
221,01-09-2017 09:18,XYZ Corporation,1166.55,26,1167.35,2,1166.5,33721
222,01-09-2017 09:18,XYZ Corporation,1166.5,48,1166.55,4,1166.55,33987
223,01-09-2017 09:18,XYZ Corporation,1166.6,26,1167.4,26,1167.45,34072
224,01-09-2017 09:18,XYZ Corporation,1166.6,26,1167.2,10,1167.45,34072
225,01-09-2017 09:18,XYZ Corporation,1166.75,334,1167.4,26,1167.45,34261
226,01-09-2017 09:18,XYZ Corporation,1166.8,26,1167.5,1213,1166.75,34305
227,01-09-2017 09:18,XYZ Corporation,1166.9,26,1167.5,764,1167.5,34806
228,01-09-2017 09:18,XYZ Corporation,1166.8,42,1166.9,10,1166.9,34842
229,01-09-2017 09:18,XYZ Corporation,1166.5,48,1166.85,42,1166.5,35051
230,01-09-2017 09:18,XYZ Corporation,1166.5,107,1166.85,42,1166.5,35245
231,01-09-2017 09:18,XYZ Corporation,1166.5,9,1166.95,107,1166.85,35388
232,01-09-2017 09:18,XYZ Corporation,1166.5,9,1166.75,3,1166.85,35388
233,01-09-2017 09:18,XYZ Corporation,1166.5,9,1167,500,1166.95,35430
234,01-09-2017 09:18,XYZ Corporation,1166.5,9,1167,527,1167,35452
235,01-09-2017 09:18,XYZ Corporation,1166.3,64,1166.6,2,1166.3,35502
236,01-09-2017 09:18,XYZ Corporation,1166.3,64,1166.6,2,1166.3,35502
237,01-09-2017 09:18,XYZ Corporation,1166,103,1166.45,1,1166,35584
238,01-09-2017 09:18,XYZ Corporation,1166.15,26,1166.95,26,1167,35606
239,01-09-2017 09:18,XYZ Corporation,1166.05,26,1166.8,26,1166.3,35616
240,01-09-2017 09:19,XYZ Corporation,1166.15,26,1166.5,2,1166.5,35698
241,01-09-2017 09:19,XYZ Corporation,1166.15,26,1166.9,35,1166.95,35748
242,01-09-2017 09:19,XYZ Corporation,1166,5,1166.8,26,1166,36316
243,01-09-2017 09:19,XYZ Corporation,1166.3,1,1166.8,31,1166,36316
244,01-09-2017 09:19,XYZ Corporation,1166.3,1,1166.75,1,1166.8,36341
245,01-09-2017 09:19,XYZ Corporation,1166.55,100,1166.9,4,1166.9,36346
246,01-09-2017 09:19,XYZ Corporation,1166.55,100,1166.9,4,1166.9,36346
247,01-09-2017 09:19,XYZ Corporation,1166.55,100,1166.9,1,1166.9,36346
248,01-09-2017 09:19,XYZ Corporation,1166.55,100,1166.9,1,1166.9,36346
249,01-09-2017 09:19,XYZ Corporation,1166.55,100,1166.9,1,1166.9,36346
250,01-09-2017 09:19,XYZ Corporation,1166.55,60,1166.9,1,1166.55,36386
251,01-09-2017 09:19,XYZ Corporation,1166.55,60,1166.75,2,1166.55,36386
252,01-09-2017 09:19,XYZ Corporation,1167,58,1167.2,3,1167,36428
253,01-09-2017 09:19,XYZ Corporation,1167,56,1167.2,3,1167,36430
254,01-09-2017 09:19,XYZ Corporation,1167,56,1167.2,4,1167,36430
255,01-09-2017 09:19,XYZ Corporation,1167,56,1167.2,4,1167,36430
256,01-09-2017 09:19,XYZ Corporation,1167,51,1167.2,4,1167,36435
257,01-09-2017 09:19,XYZ Corporation,1167,56,1167.2,4,1167,36435
258,01-09-2017 09:19,XYZ Corporation,1167,81,1167.2,4,1167,36435
259,01-09-2017 09:19,XYZ Corporation,1167,81,1167.2,4,1167,36435
260,01-09-2017 09:19,XYZ Corporation,1167,81,1167.2,4,1167,36435
261,01-09-2017 09:19,XYZ Corporation,1167,61,1167.2,4,1167,36455
262,01-09-2017 09:19,XYZ Corporation,1167,61,1167.5,779,1167.35,36555
263,01-09-2017 09:19,XYZ Corporation,1167,31,1167.5,776,1167,36585
264,01-09-2017 09:19,XYZ Corporation,1167,31,1167.45,38,1167,36585
265,01-09-2017 09:19,XYZ Corporation,1167,26,1167.45,38,1167,36590
266,01-09-2017 09:19,XYZ Corporation,1167,26,1167.45,4,1167.45,36640
267,01-09-2017 09:19,XYZ Corporation,1167.05,100,1167.45,2,1167.45,36665
268,01-09-2017 09:19,XYZ Corporation,1167.05,100,1167.4,42,1167.45,36665
269,01-09-2017 09:19,XYZ Corporation,1166.6,26,1167.45,40,1167.5,36947
270,01-09-2017 09:19,XYZ Corporation,1166.6,26,1167.4,26,1166.6,37004
271,01-09-2017 09:19,XYZ Corporation,1166.45,34,1167.2,26,1166.35,37103
272,01-09-2017 09:19,XYZ Corporation,1166.6,26,1167.35,26,1167.4,37223
273,01-09-2017 09:19,XYZ Corporation,1166.35,64,1167.25,26,1166.55,37265
274,01-09-2017 09:19,XYZ Corporation,1166.8,1,1167.25,26,1166.55,37265
275,01-09-2017 09:19,XYZ Corporation,1166.8,1,1167.25,3,1166.55,37265
276,01-09-2017 09:19,XYZ Corporation,1166.9,25,1167.25,1,1166.55,37265
277,01-09-2017 09:19,XYZ Corporation,1166.9,25,1167.25,1,1166.55,37265
278,01-09-2017 09:19,XYZ Corporation,1166.9,25,1167.25,1,1166.55,37265
279,01-09-2017 09:19,XYZ Corporation,1166.9,25,1167.25,1,1166.55,37265
280,01-09-2017 09:19,XYZ Corporation,1166.9,25,1167.25,1,1166.55,37265
281,01-09-2017 09:19,XYZ Corporation,1166.9,25,1167.25,1,1166.55,37265
282,01-09-2017 09:19,XYZ Corporation,1166.9,25,1167.25,1,1166.55,37265
283,01-09-2017 09:19,XYZ Corporation,1166.9,25,1167.25,1,1166.55,37265
284,01-09-2017 09:19,XYZ Corporation,1166.9,25,1167.25,1,1166.55,37265
285,01-09-2017 09:19,XYZ Corporation,1166.55,100,1166.8,2,1166.55,37365
286,01-09-2017 09:19,XYZ Corporation,1166.65,27,1166.8,2,1166.8,37420
287,01-09-2017 09:19,XYZ Corporation,1167,100,1167.2,3,1167.2,37432
288,01-09-2017 09:19,XYZ Corporation,1167,100,1167.2,14,1167.2,38046
289,01-09-2017 09:19,XYZ Corporation,1166.75,29,1167,4,1167,38152
290,01-09-2017 09:19,XYZ Corporation,1166.55,201,1166.6,117,1166.55,38441
291,01-09-2017 09:19,XYZ Corporation,1166.35,36,1166.55,2,1166.55,38801
292,01-09-2017 09:19,XYZ Corporation,1166.2,33,1166.6,12,1166.6,38895
293,01-09-2017 09:19,XYZ Corporation,1166.35,290,1167.35,30,1166.9,39053
294,01-09-2017 09:19,XYZ Corporation,1166.6,123,1167.35,26,1167.25,39344
295,01-09-2017 09:19,XYZ Corporation,1166.75,26,1167.4,26,1167.25,39344
296,01-09-2017 09:19,XYZ Corporation,1166.3,42,1166.75,2,1166.75,39351
297,01-09-2017 09:19,XYZ Corporation,1166.55,35,1166.75,40,1166.55,39550
298,01-09-2017 09:19,XYZ Corporation,1166.3,43,1166.75,5,1166.35,39771
299,01-09-2017 09:19,XYZ Corporation,1166.35,100,1166.75,8,1166.3,39780
300,01-09-2017 09:20,XYZ Corporation,1166.35,60,1166.75,1,1166.35,39820
301,01-09-2017 09:20,XYZ Corporation,1166.4,40,1166.75,1,1166.75,39821
302,01-09-2017 09:20,XYZ Corporation,1166.4,46,1166.8,6,1166.8,39836
303,01-09-2017 09:20,XYZ Corporation,1166.85,29,1167,2,1166.8,39890
304,01-09-2017 09:20,XYZ Corporation,1166.9,55,1167.5,140,1167.15,39939
305,01-09-2017 09:20,XYZ Corporation,1167.25,57,1167.8,21,1167.5,40079
306,01-09-2017 09:20,XYZ Corporation,1167.25,31,1167.8,21,1167.25,40112
307,01-09-2017 09:20,XYZ Corporation,1167.25,31,1167.8,21,1167.25,40112
308,01-09-2017 09:20,XYZ Corporation,1166.85,22,1167.75,26,1167.25,40112
309,01-09-2017 09:20,XYZ Corporation,1167.05,23,1167.7,22,1167.75,40113
310,01-09-2017 09:20,XYZ Corporation,1167.05,23,1167.7,22,1167.75,40113
311,01-09-2017 09:20,XYZ Corporation,1167.25,31,1167.7,22,1167.75,40113
312,01-09-2017 09:20,XYZ Corporation,1167.25,31,1167.7,12,1167.7,40123
313,01-09-2017 09:20,XYZ Corporation,1167.15,100,1167.7,12,1167.7,40123
314,01-09-2017 09:20,XYZ Corporation,1167.15,100,1167.7,12,1167.7,40123
315,01-09-2017 09:20,XYZ Corporation,1167.15,100,1167.7,14,1167.7,40123
316,01-09-2017 09:20,XYZ Corporation,1167.25,129,1167.7,13,1167.7,40124
317,01-09-2017 09:20,XYZ Corporation,1167.25,129,1167.7,24,1167.7,40137
318,01-09-2017 09:20,XYZ Corporation,1167.3,600,1167.7,25,1167.7,40138
319,01-09-2017 09:20,XYZ Corporation,1167.3,600,1167.7,25,1167.7,40138
320,01-09-2017 09:20,XYZ Corporation,1167.3,600,1167.7,25,1167.7,40138
321,01-09-2017 09:20,XYZ Corporation,1167.3,600,1167.7,27,1167.7,40163
322,01-09-2017 09:20,XYZ Corporation,1167.35,600,1167.7,21,1167.7,40225
