Id,LotFrontage,LotArea,Street,LotShape,LotConfig,LandSlope,Neighborhood,OverallQual,OverallCond,YearBuilt,RoofStyle,BsmtQual,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,OpenPorchSF,SalePrice
79,72,10778,Pave,Reg,Inside,Gtl,Sawyer,4,5,1968,Hip,TA,1768,SBrkr,1768,0,1768,2,4,2,8,0,0,0,136500
80,60,10440,Pave,Reg,Corner,Gtl,OldTown,5,6,1910,Gable,TA,440,SBrkr,682,548,1230,1,2,1,5,0,440,0,110000
81,100,13000,Pave,Reg,Corner,Gtl,NAmes,6,6,1968,Gable,Gd,896,SBrkr,1182,960,2142,2,4,1,8,1,509,72,193500
82,32,4500,Pave,Reg,FR2,Gtl,Mitchel,6,5,1998,Hip,Ex,1237,SBrkr,1337,0,1337,2,2,1,5,0,405,199,153500
83,78,10206,Pave,Reg,Inside,Gtl,Somerst,8,5,2007,Gable,Gd,1563,SBrkr,1563,0,1563,2,3,1,6,1,758,99,245000
84,80,8892,Pave,IR1,Inside,Gtl,NAmes,5,5,1960,Gable,TA,1065,SBrkr,1065,0,1065,1,3,1,6,0,461,0,126500
85,NA,8530,Pave,IR1,Inside,Gtl,Gilbert,7,5,1995,Gable,Gd,384,SBrkr,804,670,1474,2,3,1,7,1,400,72,168500
86,121,16059,Pave,Reg,Corner,Gtl,NoRidge,8,5,1991,Hip,Gd,1288,SBrkr,1301,1116,2417,2,4,1,9,1,462,82,260000
87,122,11911,Pave,IR2,Inside,Gtl,Gilbert,6,5,2005,Gable,Gd,684,SBrkr,684,876,1560,2,3,1,6,1,400,38,174000
88,40,3951,Pave,Reg,Corner,Gtl,Somerst,6,5,2009,Gable,Gd,612,SBrkr,612,612,1224,2,2,1,4,0,528,234,164500
89,105,8470,Pave,IR1,Corner,Gtl,IDOTRR,3,2,1915,Hip,TA,1013,SBrkr,1013,0,1526,1,2,1,6,0,0,0,85000
90,60,8070,Pave,Reg,Inside,Gtl,CollgCr,4,5,1994,Gable,Gd,990,SBrkr,990,0,990,1,3,1,5,0,0,0,123600
91,60,7200,Pave,Reg,Inside,Gtl,NAmes,4,5,1950,Gable,NA,0,FuseA,1040,0,1040,1,2,1,4,0,420,29,109900
92,85,8500,Pave,Reg,Inside,Gtl,NAmes,5,3,1961,Hip,TA,1235,SBrkr,1235,0,1235,1,2,1,6,0,480,0,98600
93,80,13360,Pave,IR1,Inside,Gtl,Crawfor,5,7,1921,Gable,Gd,876,SBrkr,964,0,964,1,2,1,5,0,432,0,163500
94,60,7200,Pave,Reg,Corner,Gtl,OldTown,6,6,1910,Hip,TA,1214,SBrkr,1260,1031,2291,2,4,2,9,1,506,0,133900
95,69,9337,Pave,IR1,Inside,Gtl,CollgCr,6,5,1997,Gable,Gd,824,SBrkr,905,881,1786,2,3,1,7,0,684,162,204750
96,NA,9765,Pave,IR2,Corner,Gtl,Gilbert,6,8,1993,Gable,Gd,680,SBrkr,680,790,1470,2,3,1,6,1,420,63,185000
97,78,10264,Pave,IR1,Inside,Gtl,CollgCr,7,5,1999,Gable,Gd,1588,SBrkr,1588,0,1588,2,3,1,6,0,472,29,214000
98,73,10921,Pave,Reg,Inside,Gtl,Edwards,4,5,1965,Hip,TA,960,FuseF,960,0,960,1,3,1,6,0,432,0,94750
99,85,10625,Pave,Reg,Corner,Gtl,Edwards,5,5,1920,Gable,TA,458,SBrkr,835,0,835,1,2,1,5,0,366,0,83000
100,77,9320,Pave,IR1,Inside,Gtl,NAmes,4,5,1959,Gable,TA,950,SBrkr,1225,0,1225,1,3,1,6,0,0,0,128950
101,NA,10603,Pave,IR1,Inside,Gtl,NWAmes,6,7,1977,Gable,TA,1610,SBrkr,1610,0,1610,2,3,1,6,2,480,68,205000
102,77,9206,Pave,Reg,Inside,Gtl,SawyerW,6,5,1985,Gable,Gd,741,SBrkr,977,755,1732,2,3,1,7,1,476,46,178000
103,64,7018,Pave,Reg,Inside,Gtl,SawyerW,5,5,1979,Gable,NA,0,SBrkr,1535,0,1535,2,4,2,8,0,410,0,118964
104,94,10402,Pave,IR1,Corner,Gtl,CollgCr,7,5,2009,Gable,Gd,1226,SBrkr,1226,0,1226,2,3,1,6,0,740,36,198900
105,NA,7758,Pave,Reg,Corner,Gtl,IDOTRR,7,4,1931,Gable,TA,1040,FuseF,1226,592,1818,1,4,1,7,2,240,0,169500
106,75,9375,Pave,Reg,Inside,Gtl,Somerst,8,5,2003,Hip,Ex,1053,SBrkr,1053,939,1992,2,3,1,9,1,648,45,250000
107,60,10800,Pave,Reg,Inside,Gtl,OldTown,4,7,1885,Mansard,Fa,641,SBrkr,1047,0,1047,1,2,1,6,0,273,0,100000
108,50,6000,Pave,Reg,Inside,Gtl,OldTown,5,5,1948,Gable,TA,789,SBrkr,789,0,789,1,2,1,5,0,250,0,115000
109,85,8500,Pave,Reg,Corner,Gtl,IDOTRR,5,7,1919,Gable,TA,793,FuseF,997,520,1517,2,3,1,7,0,0,0,115000
110,105,11751,Pave,IR1,Inside,Gtl,NWAmes,6,6,1977,Hip,Gd,1844,SBrkr,1844,0,1844,2,3,1,7,1,546,122,190000
111,75,9525,Pave,Reg,Inside,Gtl,Edwards,6,4,1954,Gable,TA,994,SBrkr,1216,639,1855,2,4,1,7,0,325,0,136900
112,NA,7750,Pave,IR1,Inside,Gtl,Gilbert,7,5,2000,Gable,Gd,384,SBrkr,774,656,1430,2,3,1,7,1,400,0,180000
113,77,9965,Pave,Reg,Inside,Gtl,CollgCr,7,5,2007,Gable,Ex,1264,SBrkr,1282,1414,2696,2,4,1,10,1,792,184,383970
114,NA,21000,Pave,Reg,Corner,Gtl,Crawfor,6,5,1953,Hip,Gd,1809,SBrkr,2259,0,2259,2,3,1,7,2,450,120,217000
115,61,7259,Pave,IR1,Inside,Mod,Crawfor,6,8,1945,Gambrel,TA,1028,SBrkr,1436,884,2320,2,3,1,9,1,180,0,259500
116,34,3230,Pave,Reg,Corner,Gtl,Somerst,6,5,1999,Gable,Gd,729,SBrkr,729,729,1458,2,2,1,5,1,440,32,176000
117,NA,11616,Pave,Reg,Inside,Gtl,Sawyer,5,5,1962,Gable,TA,1092,SBrkr,1092,0,1092,1,3,1,6,1,288,20,139000
118,74,8536,Pave,Reg,Corner,Gtl,Edwards,5,5,2006,Gable,Gd,1125,SBrkr,1125,0,1125,1,2,1,5,0,430,64,155000
119,90,12376,Pave,Reg,Corner,Gtl,SawyerW,7,5,1990,Hip,Gd,1673,SBrkr,1699,1523,3222,3,5,1,11,2,594,0,320000
120,65,8461,Pave,Reg,Inside,Gtl,CollgCr,6,5,2005,Gable,Gd,728,SBrkr,728,728,1456,2,3,1,8,1,390,24,163990
121,NA,21453,Pave,IR1,CulDSac,Sev,ClearCr,6,5,1969,Flat,TA,938,SBrkr,988,0,988,1,1,1,4,2,540,130,180000
122,50,6060,Pave,Reg,Inside,Gtl,IDOTRR,4,5,1939,Gable,TA,732,SBrkr,772,351,1123,1,3,1,4,0,264,0,100000
123,75,9464,Pave,Reg,Corner,Gtl,NAmes,6,7,1958,Hip,TA,1080,SBrkr,1080,0,1080,1,3,1,5,0,288,0,136000
124,55,7892,Pave,Reg,Inside,Gtl,SawyerW,6,5,1993,Gable,Gd,1199,SBrkr,1199,0,1199,2,2,1,5,0,530,63,153900
125,48,17043,Pave,IR1,CulDSac,Gtl,NWAmes,6,5,1979,Gable,Gd,1362,SBrkr,1586,0,1586,2,3,1,7,1,435,0,181000
126,60,6780,Pave,Reg,Inside,Gtl,IDOTRR,6,8,1935,Gable,TA,520,SBrkr,520,0,754,1,2,1,5,0,0,0,84500
127,NA,4928,Pave,IR1,Inside,Gtl,NPkVill,6,5,1976,Gable,Gd,1078,SBrkr,958,0,958,2,2,1,5,1,440,205,128000
128,55,4388,Pave,IR1,Inside,Gtl,OldTown,5,7,1930,Gable,TA,672,SBrkr,840,0,840,1,3,1,5,1,0,0,87000
129,69,7590,Pave,Reg,Inside,Gtl,NAmes,6,5,1966,Gable,TA,660,SBrkr,660,688,1348,1,3,1,6,1,453,108,155000
130,69,8973,Pave,Reg,Inside,Gtl,NAmes,5,7,1958,Gable,TA,1008,FuseA,1053,0,1053,1,3,1,6,0,750,80,150000
131,88,14200,Pave,Reg,Corner,Gtl,NAmes,7,6,1966,Gable,TA,924,SBrkr,1216,941,2157,2,4,1,8,2,487,66,226000
132,NA,12224,Pave,IR1,Corner,Gtl,Gilbert,6,5,2000,Gable,Gd,992,SBrkr,1022,1032,2054,2,3,1,7,1,390,48,244000
133,75,7388,Pave,Reg,Corner,Gtl,NAmes,5,6,1959,Gable,TA,1063,SBrkr,1327,0,1327,1,3,1,7,0,624,0,150750
134,NA,6853,Pave,IR1,Inside,Gtl,Timber,8,5,2001,Gable,Ex,1267,SBrkr,1296,0,1296,2,2,1,6,0,471,25,220000
135,78,10335,Pave,IR1,Inside,Gtl,Sawyer,5,6,1968,Gable,TA,1461,SBrkr,1721,0,1721,2,3,1,7,1,440,96,180000
136,80,10400,Pave,Reg,Inside,Gtl,NWAmes,7,6,1970,Hip,TA,1304,SBrkr,1682,0,1682,2,3,1,7,1,530,0,174000
137,NA,10355,Pave,IR1,Corner,Gtl,NAmes,5,5,1967,Gable,TA,1214,SBrkr,1214,0,1214,2,3,1,5,1,318,111,143000
138,82,11070,Pave,Reg,Inside,Gtl,Mitchel,7,5,1988,Gable,TA,1907,SBrkr,1959,0,1959,3,5,2,9,0,766,0,171000
139,73,9066,Pave,IR1,Inside,Gtl,CollgCr,8,5,1999,Gable,Gd,1004,SBrkr,1004,848,1852,2,3,1,7,2,660,106,230000
140,65,15426,Pave,IR1,Inside,Gtl,CollgCr,6,5,1997,Gable,Gd,928,SBrkr,928,836,1764,2,3,1,7,0,470,99,231500
141,70,10500,Pave,Reg,FR2,Gtl,NAmes,4,5,1971,Gable,TA,864,SBrkr,864,0,864,1,3,1,5,1,0,0,115000
142,78,11645,Pave,Reg,Inside,Gtl,CollgCr,7,5,2005,Gable,Gd,1734,SBrkr,1734,0,1734,2,3,1,7,0,660,24,260000
143,71,8520,Pave,Reg,Corner,Gtl,NAmes,5,4,1952,Gable,TA,910,SBrkr,910,475,1385,2,4,1,6,0,720,0,166000
144,78,10335,Pave,IR1,Inside,Gtl,CollgCr,7,5,1999,Gable,Gd,1490,SBrkr,1501,0,1501,2,3,1,6,0,577,29,204000
145,70,9100,Pave,Reg,Inside,Gtl,Sawyer,5,5,1963,Gable,TA,1728,SBrkr,1728,0,1728,2,6,2,10,0,504,0,125000
146,24,2522,Pave,Reg,Inside,Gtl,Edwards,6,5,2004,Gable,Gd,970,SBrkr,970,739,1709,2,3,1,7,0,380,40,130000
147,51,6120,Pave,Reg,Corner,Gtl,BrkSide,5,7,1931,Gable,TA,715,FuseA,875,0,875,1,2,1,5,0,180,0,105000
148,NA,9505,Pave,IR1,CulDSac,Gtl,Gilbert,7,5,2001,Gable,Gd,884,SBrkr,884,1151,2035,2,3,1,8,1,434,48,222500
149,63,7500,Pave,Reg,Inside,Gtl,SawyerW,7,5,2004,Gable,Gd,1080,SBrkr,1080,0,1080,1,3,1,6,0,0,0,141000
150,NA,6240,Pave,Reg,Inside,Gtl,BrkSide,5,4,1936,Gable,Gd,896,FuseA,896,448,1344,1,3,1,7,0,240,114,115000
151,120,10356,Pave,Reg,Corner,Gtl,CollgCr,5,6,1975,Gable,TA,969,SBrkr,969,0,969,1,3,1,5,0,440,0,122000
152,107,13891,Pave,Reg,Inside,Gtl,NridgHt,8,5,2007,Hip,Ex,1710,SBrkr,1710,0,1710,2,2,1,6,1,866,102,372402
153,NA,14803,Pave,IR1,CulDSac,Gtl,NWAmes,6,5,1971,Gable,TA,825,SBrkr,1097,896,1993,2,4,1,8,1,495,66,190000
154,NA,13500,Pave,Reg,Inside,Gtl,ClearCr,6,7,1960,Flat,Gd,1602,SBrkr,1252,0,1252,1,1,1,4,1,564,0,235000
155,84,11340,Pave,Reg,Corner,Gtl,OldTown,6,5,1923,Gable,TA,1200,FuseA,1200,0,1200,1,4,1,7,0,312,0,125000
156,60,9600,Pave,Reg,Corner,Gtl,Edwards,6,5,1924,Gable,TA,572,FuseF,572,524,1096,1,2,1,5,0,0,8,79000
157,60,7200,Pave,Reg,Inside,Gtl,NAmes,5,7,1950,Hip,NA,0,FuseF,1040,0,1040,1,2,1,5,0,625,0,109500
158,92,12003,Pave,Reg,Corner,Gtl,Timber,8,5,2009,Gable,Ex,774,SBrkr,774,1194,1968,2,4,1,8,1,680,75,269500
159,100,12552,Pave,Reg,Corner,Gtl,Somerst,7,5,2004,Gable,Gd,991,SBrkr,991,956,1947,2,3,1,8,1,678,136,254900
160,134,19378,Pave,IR1,Corner,Gtl,Gilbert,7,5,2005,Gable,Gd,1392,SBrkr,1392,1070,2462,2,4,1,9,1,576,132,320000
161,NA,11120,Pave,IR1,CulDSac,Gtl,Veenker,6,6,1984,Gable,Gd,1232,SBrkr,1232,0,1232,2,3,1,6,0,516,0,162500
162,110,13688,Pave,IR1,Inside,Gtl,NridgHt,9,5,2003,Gable,Ex,1572,SBrkr,1572,1096,2668,2,3,1,10,2,726,0,412500
163,95,12182,Pave,Reg,Corner,Gtl,NridgHt,7,5,2005,Gable,Gd,1541,SBrkr,1541,0,1541,2,3,1,7,1,532,70,220000
164,55,5500,Pave,Reg,Inside,Gtl,OldTown,4,6,1956,Gable,TA,882,SBrkr,882,0,882,1,1,1,4,0,0,0,103200
165,40,5400,Pave,Reg,Corner,Gtl,OldTown,6,7,1926,Gable,TA,1149,FuseA,1149,467,1616,2,3,1,5,0,216,0,152000
166,62,10106,Pave,Reg,Inside,Gtl,Edwards,5,7,1940,Gable,TA,644,SBrkr,808,547,1355,2,4,2,6,0,0,0,127500
167,NA,10708,Pave,IR1,Inside,Gtl,ClearCr,5,5,1955,Hip,TA,1617,FuseA,1867,0,1867,1,2,1,7,3,303,0,190000
168,86,10562,Pave,Reg,Inside,Gtl,NridgHt,8,5,2007,Gable,Ex,1582,SBrkr,1610,551,2161,1,3,1,8,1,789,120,325624
169,62,8244,Pave,IR1,Inside,Gtl,Gilbert,7,5,2004,Gable,Gd,840,SBrkr,840,880,1720,2,3,1,7,1,440,48,183500
170,NA,16669,Pave,IR1,Corner,Gtl,Timber,8,6,1981,Hip,Gd,1686,SBrkr,1707,0,1707,2,2,1,6,1,511,64,228000
171,NA,12358,Pave,IR1,Inside,Gtl,OldTown,5,6,1941,Gable,TA,720,SBrkr,854,0,1382,1,2,1,7,0,660,0,128500
172,141,31770,Pave,IR1,Corner,Gtl,NAmes,6,5,1960,Hip,TA,1080,SBrkr,1656,0,1656,1,3,1,7,2,528,62,215000
173,44,5306,Pave,IR1,Inside,Gtl,StoneBr,7,7,1987,Gable,Gd,1064,SBrkr,1064,703,1767,2,2,1,5,1,504,35,239000
174,80,10197,Pave,IR1,Inside,Gtl,NAmes,6,5,1961,Gable,TA,1362,SBrkr,1362,0,1362,1,3,1,6,1,504,20,163000
175,47,12416,Pave,IR1,Inside,Gtl,Timber,6,5,1986,Gable,Gd,1606,SBrkr,1651,0,1651,2,3,1,7,1,616,0,184000
176,84,12615,Pave,Reg,Corner,Gtl,Edwards,6,7,1950,Gable,TA,1202,SBrkr,2158,0,2158,2,4,1,7,1,576,29,243000
